Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,49.45,50.75,46.5,50.75,50.75,7600
2000-01-04,53.2,53.2,47.9,48.1,48.1,5000
2000-01-05,46.55,47.4,44.6,44.6,44.6,3500
2000-01-06,43.5,46.0,42.1,45.25,45.25,6200
2000-01-07,48.0,48.0,42.0,42.9,42.9,3500
2000-01-10,42.05,44.9,41.0,42.9,42.9,4700
2000-01-11,42.0,42.0,39.5,40.1,40.1,5500
2000-01-12,40.0,40.0,39.0,39.0,39.0,1000
2000-01-13,40.0,41.0,38.5,39.5,39.5,1000
2000-01-14,39.0,40.5,39.0,39.9,39.9,1700
2000-01-17,39.05,41.0,38.4,39.2,39.2,3100
2000-01-18,39.5,40.0,38.05,38.3,38.3,3000
2000-01-19,40.9,41.4,39.25,41.4,41.4,4500
2000-01-20,42.0,44.5,42.0,43.0,43.0,6400
2000-01-21,46.4,46.4,42.0,42.95,42.95,3100
2000-01-24,42.5,43.0,40.05,40.05,40.05,3100
2000-01-25,39.2,40.0,36.85,37.7,37.7,6400
2000-01-27,38.9,40.7,37.55,39.0,39.0,7600
2000-01-28,40.0,40.0,38.05,38.65,38.65,3700
2000-01-31,38.0,38.0,37.0,37.05,37.05,3500
2000-02-01,37.0,38.4,36.0,36.05,36.05,6300
2000-02-02,35.0,37.75,35.0,37.7,37.7,4000
2000-02-03,37.9,40.0,36.55,37.2,37.2,4800
2000-02-04,37.8,38.35,37.1,37.95,37.95,3000
2000-02-07,37.35,40.2,37.35,38.75,38.75,5400
2000-02-08,39.9,41.7,38.0,38.7,38.7,5100
2000-02-09,41.6,41.8,40.9,41.8,41.8,7100
2000-02-10,45.15,45.15,42.65,45.15,45.15,13200
2000-02-11,48.8,48.8,48.0,48.8,48.8,10700
2000-02-14,50.75,50.75,44.9,44.9,44.9,4800
2000-02-15,42.05,43.0,41.35,41.35,41.35,6200
2000-02-16,38.3,41.5,38.3,39.7,39.7,6000
2000-02-17,38.7,42.8,38.7,41.4,41.4,4600
2000-02-18,40.0,41.85,39.5,40.8,40.8,4200
2000-02-21,39.0,41.5,38.1,40.0,40.0,7300
2000-02-22,40.1,41.0,38.15,38.2,38.2,9500
2000-02-23,40.0,41.25,38.45,40.2,40.2,5900
2000-02-24,40.0,43.45,38.9,42.6,42.6,8500
2000-02-25,44.5,44.95,40.0,40.65,40.65,6200
2000-02-28,40.0,40.9,39.0,40.85,40.85,6300
2000-02-29,41.0,41.35,37.6,38.2,38.2,6400
2000-03-01,39.9,41.0,39.0,39.85,39.85,3700
2000-03-02,39.0,40.0,38.15,38.25,38.25,3900
2000-03-03,35.25,37.4,35.25,37.0,37.0,5600
2000-03-06,36.05,37.95,34.25,34.35,34.35,4400
2000-03-07,34.0,35.45,32.45,33.65,33.65,6300
2000-03-08,33.5,36.25,33.5,36.0,36.0,3300
2000-03-09,37.0,37.9,33.5,34.0,34.0,7100
2000-03-10,33.5,35.9,33.5,35.85,35.85,2100
2000-03-13,34.1,35.95,34.05,35.45,35.45,1600
2000-03-14,33.1,34.75,32.65,33.15,33.15,4400
2000-03-15,35.25,35.8,34.25,35.8,35.8,2700
2000-03-16,38.45,38.55,35.85,38.5,38.5,6100
2000-03-21,38.0,38.0,35.45,35.45,35.45,6000
2000-03-22,35.9,36.5,35.55,35.65,35.65,1300
2000-03-23,35.5,35.75,34.55,34.55,34.55,2600
